25
0	998	1092	776	720	962	754	886	1071	893	653	647	831	961	699	659	868	691	1031	1208	742	636	979	802	912	
998	0	848	1210	1068	856	1112	1214	1193	707	920	779	1144	1250	1041	1183	1165	748	819	777	860	788	804	1201	866	
1092	848	0	666	902	1233	1010	1088	874	1102	977	1038	746	1240	943	1168	1224	1025	654	628	1034	690	960	997	755	
776	1210	666	0	975	1106	744	1131	1103	1137	1021	964	1100	1152	1159	818	745	937	867	922	1237	1177	1154	667	747	
720	1068	902	975	0	1016	638	1187	823	899	980	1195	1189	824	1120	805	841	813	889	1147	1122	712	683	808	1171	
962	856	1233	1106	1016	0	727	793	898	767	822	1151	1090	900	740	1075	1198	1110	1013	1219	1036	989	849	1243	728	
754	1112	1010	744	638	727	0	820	791	775	1032	911	947	652	918	892	1037	665	910	1011	1067	1042	978	894	768	
886	1214	1088	1131	1187	793	820	0	1209	1238	1082	1069	907	1200	982	1046	1186	757	1024	1081	756	821	1135	646	1035	
1071	1193	874	1103	823	898	791	1209	0	991	732	1181	713	846	1184	1033	697	946	1115	1246	968	850	1020	845	696	
893	707	1102	1137	899	767	775	1238	991	0	966	1133	884	1058	750	1218	1043	908	835	782	674	970	944	954	942	
653	920	977	1021	980	822	1032	1082	732	966	0	883	675	1073	953	1018	1095	913	708	762	781	780	829	1097	644	
647	779	1038	964	1195	1151	911	1069	1181	1133	883	0	649	930	630	929	1242	869	641	658	670	1170	689	865	928	
831	1144	746	1100	1189	1090	947	907	713	884	675	649	0	996	1065	1104	1166	1014	1239	1229	990	794	871	882	873	
961	1250	1240	1152	824	900	652	1200	846	1058	1073	930	996	0	952	631	1220	949	988	1175	749	1169	1194	687	1017	
699	1041	943	1159	1120	740	918	982	1184	750	953	630	1065	952	0	1160	1161	843	815	648	1231	710	945	916	847	
659	1183	1168	818	805	1075	892	1046	1033	1218	1018	929	1104	631	1160	0	1192	1093	1001	951	1182	1248	807	704	758	
868	1165	1224	745	841	1198	1037	1186	697	1043	1095	1242	1166	1220	1161	1192	0	760	669	1164	1053	931	890	1099	950	
691	748	1025	937	813	1110	665	757	946	908	913	869	1014	949	843	1093	760	0	650	809	887	885	1045	810	1162	
1031	819	654	867	889	1013	910	1024	1115	835	708	641	1239	988	815	1001	669	650	0	1148	939	627	1150	695	1108	
1208	777	628	922	1147	1219	1011	1081	1246	782	762	658	1229	1175	648	951	1164	809	1148	0	773	1059	796	700	671	
742	860	1034	1237	1122	1036	1067	756	968	674	781	670	990	749	1231	1182	1053	887	939	773	0	678	840	1191	904	
636	788	690	1177	712	989	1042	821	850	970	780	1170	794	1169	710	1248	931	885	627	1059	678	0	1080	1249	983	
979	804	960	1154	683	849	978	1135	1020	944	829	689	871	1194	945	807	890	1045	1150	796	840	1080	0	797	956	
802	1201	997	667	808	1243	894	646	845	954	1097	865	882	687	916	704	1099	810	695	700	1191	1249	797	0	701	
912	866	755	747	1171	728	768	1035	696	942	644	928	873	1017	847	758	950	1162	1108	671	904	983	956	701	0	
