27
0	1073	895	932	1205	1397	941	1231	1094	1348	1246	1055	1081	1235	1028	1100	1010	1393	802	1421	907	1158	1128	778	1093	1086	981	
1073	0	1115	790	1365	827	1129	811	1060	1389	1169	803	1166	1332	1121	1068	1338	759	1189	1329	1281	1160	1424	1204	1442	838	1149	
895	1115	0	820	1234	974	1287	952	1294	888	1426	1406	1051	1291	1273	837	1044	792	918	1082	773	753	1392	1165	1048	883	1013	
932	790	820	0	1381	735	936	819	1135	1403	847	868	1216	1039	1043	1440	833	1117	1116	1211	815	917	1153	920	999	928	1279	
1205	1365	1234	1381	0	1022	982	884	1074	777	946	1383	747	1197	853	969	746	1147	1286	1411	1077	834	745	937	1207	1327	1375	
1397	827	974	735	1022	0	1107	1215	1444	1155	1377	1123	1232	1228	1188	762	1088	848	916	733	1170	1410	1344	729	1250	828	1101	
941	1129	1287	936	982	1107	0	854	1284	846	782	1350	1111	873	957	835	1079	1443	961	1112	1422	808	1045	1265	1445	950	1416	
1231	811	952	819	884	1215	854	0	1062	988	938	889	923	880	1319	767	1437	768	1337	912	1075	1341	971	784	758	1191	966	
1094	1060	1294	1135	1074	1444	1284	1062	0	1407	816	1210	1301	1220	1400	851	856	1230	1401	744	1011	1303	991	1141	781	732	975	
1348	1389	888	1403	777	1155	846	988	1407	0	1304	1109	1376	1454	763	1152	754	1146	900	1346	1311	1233	1180	894	1176	1320	1195	
1246	1169	1426	847	946	1377	782	938	816	1304	0	1297	787	1151	1150	885	1353	998	1237	1270	959	1405	935	1347	776	1006	1136	
1055	803	1406	868	1383	1123	1350	889	1210	1109	1297	0	892	1308	842	992	1434	1310	872	1174	1351	951	1240	945	1087	1368	943	
1081	1166	1051	1216	747	1232	1111	923	1301	1376	787	892	0	1004	1076	843	1357	1431	1251	1219	875	1408	924	1078	1290	1070	1056	
1235	1332	1291	1039	1197	1228	873	880	1220	1454	1151	1308	1004	0	1198	973	1224	1172	886	1318	1272	922	850	771	1300	799	1110	
1028	1121	1273	1043	853	1188	957	1319	1400	763	1150	842	1076	1198	0	765	801	870	987	793	1359	1040	1098	1345	1277	1306	1091	
1100	1068	837	1440	969	762	835	767	851	1152	885	992	843	973	765	0	752	1283	1331	1242	751	1244	1225	1209	1354	1177	824	
1010	1338	1044	833	746	1088	1079	1437	856	754	1353	1434	1357	1224	801	752	0	772	1097	1066	1449	1067	810	780	1132	878	1054	
1393	759	792	1117	1147	848	1443	768	1230	1146	998	1310	1431	1172	870	1283	772	0	786	1014	805	858	1288	1072	1137	1388	736	
802	1189	918	1116	1286	916	961	1337	1401	900	1237	872	1251	886	987	1331	1097	786	0	1103	785	791	1245	1409	1352	1071	1063	
1421	1329	1082	1211	1411	733	1112	912	744	1346	1270	1174	1219	1318	793	1242	1066	1014	1103	0	1080	944	831	783	1373	1398	1295	
907	1281	773	815	1077	1170	1422	1075	1011	1311	959	1351	875	1272	1359	751	1449	805	785	1080	0	1120	953	1413	866	1418	1175	
1158	1160	753	917	834	1410	808	1341	1303	1233	1405	951	1408	922	1040	1244	1067	858	791	944	1120	0	1285	915	1145	1164	1266	
1128	1424	1392	1153	745	1344	1045	971	991	1180	935	1240	924	850	1098	1225	810	1288	1245	831	953	1285	0	1001	1031	748	1206	
778	1204	1165	920	937	729	1265	784	1141	894	1347	945	1078	771	1345	1209	780	1072	1409	783	1413	915	1001	0	1243	990	1259	
1093	1442	1048	999	1207	1250	1445	758	781	1176	776	1087	1290	1300	1277	1354	1132	1137	1352	1373	866	1145	1031	1243	0	1203	1144	
1086	838	883	928	1327	828	950	1191	732	1320	1006	1368	1070	799	1306	1177	878	1388	1071	1398	1418	1164	748	990	1203	0	1427	
981	1149	1013	1279	1375	1101	1416	966	975	1195	1136	943	1056	1110	1091	824	1054	736	1063	1295	1175	1266	1206	1259	1144	1427	0	
